date	country	Total	new_cases
2020-05-04	Albania	803	8
2020-05-05	Albania	820	17
2020-05-06	Albania	832	12
2020-05-07	Albania	842	10
2020-05-08	Albania	850	8
2020-05-09	Albania	856	6
2020-05-10	Albania	868	12
2020-05-11	Albania	872	4
2020-05-12	Albania	876	4
2020-05-13	Albania	880	4
2020-05-14	Albania	898	18
2020-05-15	Albania	916	18
2020-05-16	Albania	933	17
2020-05-17	Albania	946	13
2020-05-18	Albania	948	2
2020-05-19	Albania	949	1
2020-01-22	Algeria	0	0
2020-01-23	Algeria	0	0
2020-01-24	Algeria	0	0
2020-01-25	Algeria	0	0
2020-01-26	Algeria	0	0
2020-01-27	Algeria	0	0
2020-01-28	Algeria	0	0
2020-01-29	Algeria	0	0
2020-01-30	Algeria	0	0
2020-01-31	Algeria	0	0
2020-02-01	Algeria	0	0
2020-02-02	Algeria	0	0
2020-02-03	Algeria	0	0
2020-02-04	Algeria	0	0
2020-02-05	Algeria	0	0
2020-02-06	Algeria	0	0
2020-02-07	Algeria	0	0
2020-02-08	Algeria	0	0
2020-02-09	Algeria	0	0
2020-02-10	Algeria	0	0
2020-02-11	Algeria	0	0
2020-02-12	Algeria	0	0
2020-02-13	Algeria	0	0
2020-02-14	Algeria	0	0
2020-02-15	Algeria	0	0
2020-02-16	Algeria	0	0
2020-02-17	Algeria	0	0
2020-02-18	Algeria	0	0
2020-02-19	Algeria	0	0
2020-02-20	Algeria	0	0
2020-02-21	Algeria	0	0
2020-02-22	Algeria	0	0
2020-02-23	Algeria	0	0
2020-02-24	Algeria	0	0
2020-02-25	Algeria	1	1
2020-02-26	Algeria	1	0
2020-02-27	Algeria	1	0
2020-02-28	Algeria	1	0
2020-02-29	Algeria	1	0
2020-03-01	Algeria	1	0
2020-03-02	Algeria	3	2
2020-03-03	Algeria	5	2
2020-03-04	Algeria	12	7
2020-03-05	Algeria	12	0
2020-03-06	Algeria	17	5
2020-03-07	Algeria	17	0
2020-03-08	Algeria	19	2
2020-03-09	Algeria	20	1
2020-03-10	Algeria	20	0
2020-03-11	Algeria	20	0
2020-03-12	Algeria	24	4
2020-03-13	Algeria	26	2
2020-03-14	Algeria	37	11
2020-03-15	Algeria	48	11
2020-03-16	Algeria	54	6
2020-03-17	Algeria	60	6
2020-03-18	Algeria	74	14
2020-03-19	Algeria	87	13
2020-03-20	Algeria	90	3
2020-03-21	Algeria	139	49
2020-03-22	Algeria	201	62
2020-03-23	Algeria	230	29
2020-03-24	Algeria	264	34
2020-03-25	Algeria	302	38
2020-03-26	Algeria	367	65
2020-03-27	Algeria	409	42
2020-03-28	Algeria	454	45
2020-03-29	Algeria	511	57
2020-03-30	Algeria	584	73
2020-03-31	Algeria	716	132
2020-04-01	Algeria	847	131
2020-04-02	Algeria	986	139
2020-04-03	Algeria	1171	185
2020-04-04	Algeria	1251	80
2020-04-05	Algeria	1320	69
2020-04-06	Algeria	1423	103
2020-04-07	Algeria	1468	45
2020-04-08	Algeria	1572	104
2020-04-09	Algeria	1666	94
2020-04-10	Algeria	1761	95
2020-04-11	Algeria	1825	64
2020-04-12	Algeria	1914	89
2020-04-13	Algeria	1983	69
2020-04-14	Algeria	2070	87
2020-04-15	Algeria	2160	90
2020-04-16	Algeria	2268	108
2020-04-17	Algeria	2418	150
2020-04-18	Algeria	2534	116
2020-04-19	Algeria	2629	95
2020-04-20	Algeria	2718	89
2020-04-21	Algeria	2811	93
2020-04-22	Algeria	2910	99
2020-04-23	Algeria	3007	97
2020-04-24	Algeria	3127	120
2020-04-25	Algeria	3256	129
2020-04-26	Algeria	3382	126
2020-04-27	Algeria	3517	135
2020-04-28	Algeria	3649	132
2020-04-29	Algeria	3848	199
2020-04-30	Algeria	4006	158
2020-05-01	Algeria	4154	148
2020-05-02	Algeria	4295	141
2020-05-03	Algeria	4474	179
2020-05-04	Algeria	4648	174
2020-05-05	Algeria	4838	190
2020-05-06	Algeria	4997	159
2020-05-07	Algeria	5182	185
2020-05-08	Algeria	5369	187
2020-05-09	Algeria	5558	189
2020-05-10	Algeria	5723	165
2020-05-11	Algeria	5891	168
2020-05-12	Algeria	6067	176
2020-05-13	Algeria	6253	186
2020-05-14	Algeria	6442	189
2020-05-15	Algeria	6629	187
2020-05-16	Algeria	6821	192
2020-05-17	Algeria	7019	198
2020-05-18	Algeria	7201	182
2020-05-19	Algeria	7377	176
2020-01-22	Andorra	0	0
2020-01-23	Andorra	0	0
2020-01-24	Andorra	0	0
2020-01-25	Andorra	0	0
2020-01-26	Andorra	0	0
2020-01-27	Andorra	0	0
2020-01-28	Andorra	0	0
2020-01-29	Andorra	0	0
2020-01-30	Andorra	0	0
2020-01-31	Andorra	0	0
2020-02-01	Andorra	0	0
2020-02-02	Andorra	0	0
2020-02-03	Andorra	0	0
2020-02-04	Andorra	0	0
2020-02-05	Andorra	0	0
2020-02-06	Andorra	0	0
2020-02-07	Andorra	0	0
2020-02-08	Andorra	0	0
2020-02-09	Andorra	0	0
2020-02-10	Andorra	0	0
2020-02-11	Andorra	0	0
2020-02-12	Andorra	0	0
2020-02-13	Andorra	0	0
2020-02-14	Andorra	0	0
2020-02-15	Andorra	0	0
2020-02-16	Andorra	0	0
2020-02-17	Andorra	0	0
2020-02-18	Andorra	0	0
2020-02-19	Andorra	0	0
2020-02-20	Andorra	0	0
2020-02-21	Andorra	0	0
2020-02-22	Andorra	0	0
2020-02-23	Andorra	0	0
2020-02-24	Andorra	0	0
2020-02-25	Andorra	0	0
2020-02-26	Andorra	0	0
2020-02-27	Andorra	0	0
2020-02-28	Andorra	0	0
2020-02-29	Andorra	0	0
2020-03-01	Andorra	0	0
2020-03-02	Andorra	1	1
2020-03-03	Andorra	1	0
2020-03-04	Andorra	1	0
2020-03-05	Andorra	1	0
2020-03-06	Andorra	1	0
2020-03-07	Andorra	1	0
2020-03-08	Andorra	1	0
2020-03-09	Andorra	1	0
2020-03-10	Andorra	1	0
2020-03-11	Andorra	1	0
2020-03-12	Andorra	1	0
2020-03-13	Andorra	1	0
2020-03-14	Andorra	1	0
2020-03-15	Andorra	1	0
2020-03-16	Andorra	2	1
2020-03-17	Andorra	39	37
2020-03-18	Andorra	39	0
2020-03-19	Andorra	53	14
2020-03-20	Andorra	75	22
2020-03-21	Andorra	88	13
2020-03-22	Andorra	113	25
2020-03-23	Andorra	133	20
2020-03-24	Andorra	164	31
2020-03-25	Andorra	188	24
2020-03-26	Andorra	224	36
2020-03-27	Andorra	267	43
2020-03-28	Andorra	308	41
2020-03-29	Andorra	334	26
2020-03-30	Andorra	370	36
2020-03-31	Andorra	376	6
2020-04-01	Andorra	390	14
2020-04-02	Andorra	428	38
2020-04-03	Andorra	439	11
2020-04-04	Andorra	466	27
2020-04-05	Andorra	501	35
2020-04-06	Andorra	525	24
2020-04-07	Andorra	545	20
2020-04-08	Andorra	564	19
2020-04-09	Andorra	583	19
2020-04-10	Andorra	601	18
2020-04-11	Andorra	601	0
2020-04-12	Andorra	638	37
2020-04-13	Andorra	646	8
2020-04-14	Andorra	659	13
2020-04-15	Andorra	673	14
2020-04-16	Andorra	673	0
2020-04-17	Andorra	696	23
2020-04-18	Andorra	704	8
2020-04-19	Andorra	713	9
2020-04-20	Andorra	717	4
2020-04-21	Andorra	717	0
2020-04-22	Andorra	723	6
2020-04-23	Andorra	723	0
2020-04-24	Andorra	731	8
2020-04-25	Andorra	738	7
2020-04-26	Andorra	738	0
2020-04-27	Andorra	743	5
2020-04-28	Andorra	743	0
2020-04-29	Andorra	743	0
2020-04-30	Andorra	745	2
2020-05-01	Andorra	745	0
2020-05-02	Andorra	747	2
2020-05-03	Andorra	748	1
2020-05-04	Andorra	750	2
2020-05-05	Andorra	751	1
2020-05-06	Andorra	751	0
2020-05-07	Andorra	752	1
2020-05-08	Andorra	752	0
2020-05-09	Andorra	754	2
2020-05-10	Andorra	755	1
2020-05-11	Andorra	755	0
2020-05-12	Andorra	758	3
2020-05-13	Andorra	760	2
2020-05-14	Andorra	761	1
2020-05-15	Andorra	761	0
2020-05-16	Andorra	761	0
2020-05-17	Andorra	761	0
2020-05-18	Andorra	761	0
2020-05-19	Andorra	761	0
2020-01-22	Angola	0	0
2020-01-23	Angola	0	0
2020-01-24	Angola	0	0
2020-01-25	Angola	0	0
2020-01-26	Angola	0	0
2020-01-27	Angola	0	0
2020-01-28	Angola	0	0
2020-01-29	Angola	0	0
2020-01-30	Angola	0	0
2020-01-31	Angola	0	0
2020-02-01	Angola	0	0
2020-02-02	Angola	0	0
2020-02-03	Angola	0	0
2020-02-04	Angola	0	0
2020-02-05	Angola	0	0
2020-02-06	Angola	0	0
2020-02-07	Angola	0	0
2020-02-08	Angola	0	0
2020-02-09	Angola	0	0
2020-02-10	Angola	0	0
2020-02-11	Angola	0	0
2020-02-12	Angola	0	0
2020-02-13	Angola	0	0
2020-02-14	Angola	0	0
2020-02-15	Angola	0	0
2020-02-16	Angola	0	0
2020-02-17	Angola	0	0
2020-02-18	Angola	0	0
2020-02-19	Angola	0	0
2020-02-20	Angola	0	0
2020-02-21	Angola	0	0
2020-02-22	Angola	0	0
2020-02-23	Angola	0	0
2020-02-24	Angola	0	0
2020-02-25	Angola	0	0
2020-02-26	Angola	0	0
2020-02-27	Angola	0	0
2020-02-28	Angola	0	0
2020-02-29	Angola	0	0
2020-03-01	Angola	0	0
2020-03-02	Angola	0	0
2020-03-03	Angola	0	0
2020-03-04	Angola	0	0
2020-03-05	Angola	0	0
2020-03-06	Angola	0	0
2020-03-07	Angola	0	0
2020-03-08	Angola	0	0
2020-03-09	Angola	0	0
2020-03-10	Angola	0	0
2020-03-11	Angola	0	0
2020-03-12	Angola	0	0
2020-03-13	Angola	0	0
2020-03-14	Angola	0	0
2020-03-15	Angola	0	0
2020-03-16	Angola	0	0
2020-03-17	Angola	0	0
2020-03-18	Angola	0	0
2020-03-19	Angola	0	0
2020-03-20	Angola	1	1
2020-03-21	Angola	2	1
2020-03-22	Angola	2	0
2020-03-23	Angola	3	1
2020-03-24	Angola	3	0
2020-03-25	Angola	3	0
2020-03-26	Angola	4	1
2020-03-27	Angola	4	0
2020-03-28	Angola	5	1
2020-03-29	Angola	7	2
2020-03-30	Angola	7	0
2020-03-31	Angola	7	0
2020-04-01	Angola	8	1
2020-04-02	Angola	8	0
2020-04-03	Angola	8	0
2020-04-04	Angola	10	2
2020-04-05	Angola	14	4
2020-04-06	Angola	16	2
2020-04-07	Angola	17	1
2020-04-08	Angola	19	2
2020-04-09	Angola	19	0
2020-04-10	Angola	19	0
2020-04-11	Angola	19	0
2020-04-12	Angola	19	0
2020-04-13	Angola	19	0
2020-04-14	Angola	19	0
2020-04-15	Angola	19	0
2020-04-16	Angola	19	0
2020-04-17	Angola	19	0
2020-04-18	Angola	24	5
2020-04-19	Angola	24	0
2020-04-20	Angola	24	0
2020-04-21	Angola	24	0
2020-04-22	Angola	25	1
2020-04-23	Angola	25	0
2020-04-24	Angola	25	0
2020-04-25	Angola	25	0
2020-04-26	Angola	26	1
2020-04-27	Angola	27	1
2020-04-28	Angola	27	0
2020-04-29	Angola	27	0
2020-04-30	Angola	27	0
2020-05-01	Angola	30	3
2020-05-02	Angola	35	5
2020-05-03	Angola	35	0
2020-05-04	Angola	35	0
2020-05-05	Angola	36	1
2020-05-06	Angola	36	0
2020-05-07	Angola	36	0
2020-05-08	Angola	43	7
2020-05-09	Angola	43	0
2020-05-10	Angola	45	2
2020-05-11	Angola	45	0
2020-05-12	Angola	45	0
2020-05-13	Angola	45	0
2020-05-14	Angola	48	3
2020-05-15	Angola	48	0
2020-05-16	Angola	48	0
2020-05-17	Angola	48	0
2020-05-18	Angola	50	2
2020-05-19	Angola	52	2
2020-01-22	Antigua and Barbuda	0	0
2020-01-23	Antigua and Barbuda	0	0
2020-01-24	Antigua and Barbuda	0	0
2020-01-25	Antigua and Barbuda	0	0
2020-01-26	Antigua and Barbuda	0	0
2020-01-27	Antigua and Barbuda	0	0
2020-01-28	Antigua and Barbuda	0	0
2020-01-29	Antigua and Barbuda	0	0
2020-01-30	Antigua and Barbuda	0	0
2020-01-31	Antigua and Barbuda	0	0
2020-02-01	Antigua and Barbuda	0	0
2020-02-02	Antigua and Barbuda	0	0
2020-02-03	Antigua and Barbuda	0	0
2020-02-04	Antigua and Barbuda	0	0
2020-02-05	Antigua and Barbuda	0	0
2020-02-06	Antigua and Barbuda	0	0
2020-02-07	Antigua and Barbuda	0	0
2020-02-08	Antigua and Barbuda	0	0
2020-02-09	Antigua and Barbuda	0	0
2020-02-10	Antigua and Barbuda	0	0
2020-02-11	Antigua and Barbuda	0	0
2020-02-12	Antigua and Barbuda	0	0
2020-02-13	Antigua and Barbuda	0	0
2020-02-14	Antigua and Barbuda	0	0
2020-02-15	Antigua and Barbuda	0	0
2020-02-16	Antigua and Barbuda	0	0
2020-02-17	Antigua and Barbuda	0	0
2020-02-18	Antigua and Barbuda	0	0
2020-02-19	Antigua and Barbuda	0	0
2020-02-20	Antigua and Barbuda	0	0
2020-02-21	Antigua and Barbuda	0	0
2020-02-22	Antigua and Barbuda	0	0
2020-02-23	Antigua and Barbuda	0	0
2020-02-24	Antigua and Barbuda	0	0
2020-02-25	Antigua and Barbuda	0	0
2020-02-26	Antigua and Barbuda	0	0
2020-02-27	Antigua and Barbuda	0	0
2020-02-28	Antigua and Barbuda	0	0
2020-02-29	Antigua and Barbuda	0	0
2020-03-01	Antigua and Barbuda	0	0
2020-03-02	Antigua and Barbuda	0	0
2020-03-03	Antigua and Barbuda	0	0
2020-03-04	Antigua and Barbuda	0	0
2020-03-05	Antigua and Barbuda	0	0
2020-03-06	Antigua and Barbuda	0	0
2020-03-07	Antigua and Barbuda	0	0
2020-03-08	Antigua and Barbuda	0	0
2020-03-09	Antigua and Barbuda	0	0
2020-03-10	Antigua and Barbuda	0	0
2020-03-11	Antigua and Barbuda	0	0
2020-03-12	Antigua and Barbuda	0	0
2020-03-13	Antigua and Barbuda	1	1
2020-03-14	Antigua and Barbuda	1	0
2020-03-15	Antigua and Barbuda	1	0
2020-03-16	Antigua and Barbuda	1	0
2020-03-17	Antigua and Barbuda	1	0
2020-03-18	Antigua and Barbuda	1	0
2020-03-19	Antigua and Barbuda	1	0
2020-03-20	Antigua and Barbuda	1	0
2020-03-21	Antigua and Barbuda	1	0
2020-03-22	Antigua and Barbuda	1	0
2020-03-23	Antigua and Barbuda	3	2
2020-03-24	Antigua and Barbuda	3	0
2020-03-25	Antigua and Barbuda	3	0
2020-03-26	Antigua and Barbuda	7	4
2020-03-27	Antigua and Barbuda	7	0
2020-03-28	Antigua and Barbuda	7	0
2020-03-29	Antigua and Barbuda	7	0
2020-03-30	Antigua and Barbuda	7	0
2020-03-31	Antigua and Barbuda	7	0
2020-04-01	Antigua and Barbuda	7	0
2020-04-02	Antigua and Barbuda	9	2
2020-04-03	Antigua and Barbuda	15	6
2020-04-04	Antigua and Barbuda	15	0
2020-04-05	Antigua and Barbuda	15	0
2020-04-06	Antigua and Barbuda	15	0
2020-04-07	Antigua and Barbuda	19	4
2020-04-08	Antigua and Barbuda	19	0
2020-04-09	Antigua and Barbuda	19	0
2020-04-10	Antigua and Barbuda	19	0
2020-04-11	Antigua and Barbuda	21	2
2020-04-12	Antigua and Barbuda	21	0
2020-04-13	Antigua and Barbuda	23	2
2020-04-14	Antigua and Barbuda	23	0
2020-04-15	Antigua and Barbuda	23	0
2020-04-16	Antigua and Barbuda	23	0
2020-04-17	Antigua and Barbuda	23	0
2020-04-18	Antigua and Barbuda	23	0
2020-04-19	Antigua and Barbuda	23	0
2020-04-20	Antigua and Barbuda	23	0
2020-04-21	Antigua and Barbuda	23	0
2020-04-22	Antigua and Barbuda	24	1
2020-04-23	Antigua and Barbuda	24	0
2020-04-24	Antigua and Barbuda	24	0
2020-04-25	Antigua and Barbuda	24	0
2020-04-26	Antigua and Barbuda	24	0
2020-04-27	Antigua and Barbuda	24	0
2020-04-28	Antigua and Barbuda	24	0
2020-04-29	Antigua and Barbuda	24	0
2020-04-30	Antigua and Barbuda	24	0
2020-05-01	Antigua and Barbuda	25	1
2020-05-02	Antigua and Barbuda	25	0
2020-05-03	Antigua and Barbuda	25	0
2020-05-04	Antigua and Barbuda	25	0
2020-05-05	Antigua and Barbuda	25	0
2020-05-06	Antigua and Barbuda	25	0
2020-05-07	Antigua and Barbuda	25	0
2020-05-08	Antigua and Barbuda	25	0
2020-05-09	Antigua and Barbuda	25	0
2020-05-10	Antigua and Barbuda	25	0
2020-05-11	Antigua and Barbuda	25	0
2020-05-12	Antigua and Barbuda	25	0
2020-05-13	Antigua and Barbuda	25	0
2020-05-14	Antigua and Barbuda	25	0
2020-05-15	Antigua and Barbuda	25	0
2020-05-16	Antigua and Barbuda	25	0
2020-05-17	Antigua and Barbuda	25	0
2020-05-18	Antigua and Barbuda	25	0
2020-05-19	Antigua and Barbuda	25	0
2020-01-22	Argentina	0	0
2020-01-23	Argentina	0	0
2020-01-24	Argentina	0	0
2020-01-25	Argentina	0	0
2020-01-26	Argentina	0	0
2020-01-27	Argentina	0	0
2020-01-28	Argentina	0	0
2020-01-29	Argentina	0	0
2020-01-30	Argentina	0	0
2020-01-31	Argentina	0	0
2020-02-01	Argentina	0	0
2020-02-02	Argentina	0	0
2020-02-03	Argentina	0	0
2020-02-04	Argentina	0	0
2020-02-05	Argentina	0	0
2020-02-06	Argentina	0	0
2020-02-07	Argentina	0	0
2020-02-08	Argentina	0	0
2020-02-09	Argentina	0	0
2020-02-10	Argentina	0	0
2020-02-11	Argentina	0	0
2020-02-12	Argentina	0	0
2020-02-13	Argentina	0	0
2020-02-14	Argentina	0	0
2020-02-15	Argentina	0	0
2020-02-16	Argentina	0	0
2020-02-17	Argentina	0	0
2020-02-18	Argentina	0	0
2020-02-19	Argentina	0	0
2020-02-20	Argentina	0	0
2020-02-21	Argentina	0	0
2020-02-22	Argentina	0	0
2020-02-23	Argentina	0	0
2020-02-24	Argentina	0	0
2020-02-25	Argentina	0	0
2020-02-26	Argentina	0	0
2020-02-27	Argentina	0	0
2020-02-28	Argentina	0	0
2020-02-29	Argentina	0	0
2020-03-01	Argentina	0	0
2020-03-02	Argentina	0	0
2020-03-03	Argentina	1	1
2020-03-04	Argentina	1	0
2020-03-05	Argentina	1	0
2020-03-06	Argentina	2	1
2020-03-07	Argentina	8	6
2020-03-08	Argentina	12	4
2020-03-09	Argentina	12	0
2020-03-10	Argentina	17	5
2020-03-11	Argentina	19	2
2020-03-12	Argentina	19	0
2020-03-13	Argentina	31	12
2020-03-14	Argentina	34	3
2020-03-15	Argentina	45	11
2020-03-16	Argentina	56	11
2020-03-17	Argentina	68	12
2020-03-18	Argentina	79	11
2020-03-19	Argentina	97	18
2020-03-20	Argentina	128	31
2020-03-21	Argentina	158	30
2020-03-22	Argentina	266	108
2020-03-23	Argentina	301	35
2020-03-24	Argentina	387	86
2020-03-25	Argentina	387	0
2020-03-26	Argentina	502	115
2020-03-27	Argentina	589	87
2020-03-28	Argentina	690	101
2020-03-29	Argentina	745	55
2020-03-30	Argentina	820	75
2020-03-31	Argentina	1054	234
2020-04-01	Argentina	1054	0
2020-04-02	Argentina	1133	79
2020-04-03	Argentina	1265	132
2020-04-04	Argentina	1451	186
2020-04-05	Argentina	1451	0
2020-04-06	Argentina	1554	103
2020-04-07	Argentina	1628	74
2020-04-08	Argentina	1715	87
2020-04-09	Argentina	1795	80
2020-04-10	Argentina	1975	180
2020-04-11	Argentina	1975	0
2020-04-12	Argentina	2142	167
2020-04-13	Argentina	2208	66
2020-04-14	Argentina	2277	69
2020-04-15	Argentina	2443	166
2020-04-16	Argentina	2571	128
2020-04-17	Argentina	2669	98
2020-04-18	Argentina	2758	89
2020-04-19	Argentina	2839	81
2020-04-20	Argentina	2941	102
2020-04-21	Argentina	3031	90
2020-04-22	Argentina	3144	113
2020-04-23	Argentina	3435	291
2020-04-24	Argentina	3607	172
2020-04-25	Argentina	3780	173
2020-04-26	Argentina	3892	112
2020-04-27	Argentina	4003	111
2020-04-28	Argentina	4127	124
2020-04-29	Argentina	4285	158
2020-04-30	Argentina	4428	143
2020-05-01	Argentina	4532	104
2020-05-02	Argentina	4681	149
2020-05-03	Argentina	4783	102
2020-05-04	Argentina	4887	104
2020-05-05	Argentina	5020	133
2020-05-06	Argentina	5208	188
2020-05-07	Argentina	5371	163
